job_title,company,skill,experience_years_min,experience_years_max,seniority,language_required,job_id
Analista de Soporte ERP y Reportes,Unknown,Power BI,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Data Visualization,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Reporting,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Dashboards,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Database Management,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Data Analysis,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Business Intelligence,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,Excel,1.0,2,Junior,Spanish,16
Analista de Soporte ERP y Reportes,Unknown,ERP Support,1.0,2,Junior,Spanish,16
Analista de Datos,MODATELAS,Excel,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,Power BI,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,SQL,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,Database Management,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,Data Analysis,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,Dashboards,2.0,0,Mid,Spanish,17
Analista de Datos,MODATELAS,Reporting,2.0,0,Mid,Spanish,17
Analista de Datos de Producción,Skytex México,Excel,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Power BI,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Data Analysis,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Reporting,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Dashboards,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Database Management,2.0,0,Mid,Spanish,18
Analista de Datos de Producción,Skytex México,Statistics,2.0,0,Mid,Spanish,18
Analista de Datos Comerciales,Unknown,Data Analysis,2.0,0,Mid,Spanish,19
Analista de Datos Comerciales,Unknown,Excel,2.0,0,Mid,Spanish,19
Analista de Datos Comerciales,Unknown,Database Management,2.0,0,Mid,Spanish,19
Analista de Datos Comerciales,Unknown,Dashboards,2.0,0,Mid,Spanish,19
Analista de Datos Comerciales,Unknown,Reporting,2.0,0,Mid,Spanish,19
Analista de Datos Comerciales,Unknown,Data Visualization,2.0,0,Mid,Spanish,19
Ingeniero BI Jr,CONSUBANCO,Reporting,0.0,0,Junior,Spanish,20
Ingeniero BI Jr,CONSUBANCO,Dashboards,0.0,0,Junior,Spanish,20
Ingeniero BI Jr,CONSUBANCO,Data Analysis,0.0,0,Junior,Spanish,20
Ingeniero BI Jr,CONSUBANCO,Business Intelligence,0.0,0,Junior,Spanish,20
Analista de Datos / Business Intelligence,Unknown,Data Analysis,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Business Intelligence,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Excel,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Power Query,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Python,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,SQL,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Power BI,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Data Visualization,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Dashboards,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Reporting,2.0,4,Mid,Spanish,21
Analista de Datos / Business Intelligence,Unknown,Inventory Management,2.0,4,Mid,Spanish,21
Analista Junior de Datos,Sniper Human Target,Excel,0.0,0,Junior,Spanish,22
Analista Junior de Datos,Sniper Human Target,Reporting,0.0,0,Junior,Spanish,22
Analista Junior de Datos,Sniper Human Target,Database Management,0.0,0,Junior,Spanish,22
Analista Junior de Datos,Sniper Human Target,Inteligencia Artificial,0.0,0,Junior,Spanish,22
Analista Junior de Datos,Sniper Human Target,Automation,0.0,0,Junior,Spanish,22
Analista de Social Listening / Inteligencia Digital,Kostik,Data Analysis,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Reporting,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Dashboards,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Data Visualization,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Power BI,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Business Intelligence,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Social Media Monitoring,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Boolean Search,0.0,0,Junior,Spanish,23
Analista de Social Listening / Inteligencia Digital,Kostik,Market Research,0.0,0,Junior,Spanish,23
Analista de Datos Jr. / Operaciones & Servicio al Cliente,99minutos,Excel,0.5,1,Junior,Spanish,24
Analista de Datos Jr. / Operaciones & Servicio al Cliente,99minutos,Data Analysis,0.5,1,Junior,Spanish,24
Analista de Datos Jr. / Operaciones & Servicio al Cliente,99minutos,Reporting,0.5,1,Junior,Spanish,24
Analista de Datos Jr. / Operaciones & Servicio al Cliente,99minutos,Database Management,0.5,1,Junior,Spanish,24
Analista de Datos Jr. / Operaciones & Servicio al Cliente,99minutos,CRM,0.5,1,Junior,Spanish,24
Audit Services Jr,PRGX,SQL,0.0,0,Junior,Both,25
Audit Services Jr,PRGX,Data Analysis,0.0,0,Junior,Both,25
Audit Services Jr,PRGX,Python,0.0,0,Junior,Both,25
Audit Services Jr,PRGX,Database Management,0.0,0,Junior,Both,25
Analista de Datos Jr,Unknown,Dashboards,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Business Intelligence,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Inteligencia Artificial,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Power BI,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,SQL,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Database Management,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,ETL,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Excel,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Data Analysis,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Reporting,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Python,0.0,0,Junior,Both,26
Analista de Datos Jr,Unknown,Dashboards,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Business Intelligence,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Inteligencia Artificial,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Power BI,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,SQL,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Database Management,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,ETL,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Excel,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Data Analysis,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Reporting,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Python,0.0,0,Junior,Both,27
Analista de Datos Jr,Unknown,Data Modeling,0.0,0,Junior,Both,27
